ID;long;lat;tipo;Mg;Ca;Na;K;HCO3;Cl;SO4
M-2175;-73.5512;7.9539;Pozo;0.15;0.39;0.652173913;0.069230769;0.573770492;0.845070423;0.129166667
M-25881;-73.528;7.9747;Pozo de monitoreo;0.15;0.39;0.652173913;0.069230769;0.573770492;0.845070423;0.129166667
M-25904;-73.6381;7.5232;Pozo de monitoreo;0.17;0.473;0.0013;0.005;0.001;0.301408451;0.208333333
MU-22-10003;-73.4563;7.3095;Pozo;0.02;0.049;0.110434783;0.002564103;0.131147541;0.005;0.010416667
M-0015;-73.9169;7.2769;Aljibe;0.68;1.275;3.286956522;0.58974359;5.983606557;0.690140845;0.910416667
M-249230;-73.6462;7.4769;Aljibe;0.06;0.186;0.34;0.022615385;0.069508197;0.301126761;0.104166667
M-26969;-73.7261;7.4262;Aljibe;0.04;0.06;0.013043478;0.020512821;0.001;0.070422535;0.00625
M-0057;-73.8136;6.89;Aljibe;0.37;2.5485;0.200869565;0.046153846;1.760655738;0.081690141;0.633333333
M-25960;-73.8136;6.89;Aljibe;0.37;2.5485;0.200869565;0.046153846;1.760655738;0.081690141;0.633333333
M-25898;-73.6082;7.6243;Aljibe;0.06;0.36;0.0013;0.005;0.001;0.327605634;0.208333333
M-2253;-73.8407;7.3273;Pozo;0.18;0.225;0.35;0.143076923;0.936065574;0.084507042;0.208333333
M-3045;-73.6591;7.9761;Pozo de monitoreo;0.32;0.775;0.617391304;0.096666667;1.062131148;0.218591549;0.025416667
M-25905;-73.6414;7.5274;Pozo de monitoreo;0.23;0.4665;0.0013;0.005;0.001;0.183380282;0.356458333
M-3047;-73.6242;7.9761;Pozo de monitoreo;0.19;0.565;0.5;0.128205128;0.719672131;0.097183099;0.013333333
M-241190;-73.9169;7.2769;Aljibe;0.68;1.275;3.286956522;0.58974359;5.983606557;0.690140845;0.910416667
M-0059;-73.8234;7.1846;Pozo;0.06;0.1485;0.302608696;0.03974359;0.444262295;0.081690141;0.1875
